,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Rape+Kidnap,Urban,Population,crimes/population
1951,RAJASTHAN,CHITTORGARH,2003,0.0005064935064935065,0.0010649350649350648,242,0,154000,0.0015714285714285715
505,RAJASTHAN,CHITTORGARH,2001,0.0004350649350649351,0.0010974025974025974,236,0,154000,0.0015324675324675326
499,RAJASTHAN,BARAN,2001,0.0006639344262295082,0.0007704918032786886,175,0,122000,0.0014344262295081967
1222,RAJASTHAN,CHITTORGARH,2002,0.000474025974025974,0.0009025974025974026,212,0,154000,0.0013766233766233766
2679,RAJASTHAN,CHITTORGARH,2004,0.0004350649350649351,0.0009350649350649351,211,0,154000,0.0013701298701298702
4891,RAJASTHAN,CHITTORGARH,2007,0.0005974025974025974,0.0007727272727272727,211,0,154000,0.0013701298701298702
8907,UTTAR PRADESH,KHIRI,2012,0.0002236842105263158,0.0011118421052631578,203,0,152000,0.0013355263157894736
8767,RAJASTHAN,BARAN,2012,0.0005655737704918033,0.0006885245901639345,153,0,122000,0.0012540983606557376
4148,RAJASTHAN,CHITTORGARH,2006,0.0004220779220779221,0.0008246753246753247,192,0,154000,0.0012467532467532467
7966,RAJASTHAN,BARAN,2011,0.0004918032786885246,0.000721311475409836,148,0,122000,0.0012131147540983607
6403,RAJASTHAN,BARAN,2009,0.00045081967213114754,0.0006885245901639345,139,0,122000,0.001139344262295082
1216,RAJASTHAN,BARAN,2002,0.0004180327868852459,0.000721311475409836,139,0,122000,0.001139344262295082
622,UTTAR PRADESH,KHIRI,2001,0.0005460526315789473,0.0005921052631578948,173,0,152000,0.001138157894736842
8101,UTTAR PRADESH,KHIRI,2011,0.00023026315789473684,0.000868421052631579,167,0,152000,0.0010986842105263157
3413,RAJASTHAN,CHITTORGARH,2005,0.0003961038961038961,0.0006623376623376623,163,0,154000,0.0010584415584415584
7179,RAJASTHAN,BARAN,2010,0.00039344262295081965,0.0005901639344262295,120,0,122000,0.0009836065573770492
5768,UTTAR PRADESH,KHIRI,2008,0.00038157894736842105,0.0005986842105263158,149,0,152000,0.0009802631578947369
7972,RAJASTHAN,CHITTORGARH,2011,0.0003246753246753247,0.0006363636363636364,148,0,154000,0.0009610389610389611
1945,RAJASTHAN,BARAN,2003,0.0004098360655737705,0.000540983606557377,116,0,122000,0.0009508196721311475
681,WEST BENGAL,MIDNAPUR,2001,0.0004941176470588235,0.00043529411764705884,158,0,170000,0.0009294117647058824
