,States/UTs,District,Year,Rape,Custodial Rape,Custodial_Gang Rape,Custodial_Other Rape,Rape other than Custodial,Rape_Gang Rape,Rape_Others,Attempt to commit Rape,Kidnapping & Abduction_Total,Kidnaping & Abduction,Kidnaping & Abduction in order to Murder,Kidnapping for Ransom,Kidnapping & Abduction of Women to compel her for marriage,Kidnaping & Abduction_Others,Dowry Deaths,Assault on Women with intent to outrage her Modesty_Total,Sexual Harassment,Assault on women with intent to Disrobe,Voyeurism,Stalking,Others,Insult to the Modesty of Women_Total,At Office premises,In places related to work,In Public Transport system,In other Places,Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Murder,Attempt to commit Murder,Culpable Homicide not amounting to Murder,Attempt to commit Culpable Homicide,Grievous Hurt,Hurt,Acid attack,Attempt to Acid Attack,Deaths caused with intent to cause miscarriage,Causing miscarriage without consent of women,Dacoity_Total,Dacoity with Murder,Other Dacoity,Robbery,Arson,HumanTrafficking,Abetment of Suicides of Women,UnNatural Offences,Other IPC Crimes,"Dowry Prohibition Act, 1961","Indecent Representation of Women (P) Act, 1986","Commission of Sati Prevention Act, 1987","Protection of Women from Domestic Violence Act, 2005",Immoral Traffic Prevention Act,ITP Under Section 5,ITP Under Section 6,ITP Under Section 7,ITP Under Section 8,ITP Under Other Sections,Other SLL Crimes against Women,Total Crimes against Women
290,Karnataka,Bagalkot,2014,22,0,0,0,22,0,22,0,17,0,0,0,0,17,4,96,0,0,0,0,96,1,0,0,0,1,53,0,14,5,0,0,5,5,0,0,0,0,1,0,1,7,0,0,15,0,0,26,0,0,0,2,2,0,0,0,0,2,270
291,Karnataka,Bengaluru City,2014,104,0,0,0,104,8,96,4,618,565,0,4,11,38,57,680,53,8,4,19,596,57,1,2,1,53,490,0,83,62,0,0,23,22,0,1,0,0,5,0,5,603,3,7,80,0,719,774,0,0,0,213,69,2,24,14,104,280,4862
292,Karnataka,Bengaluru District,2014,60,0,0,0,60,0,60,0,69,0,0,0,69,0,22,135,0,0,0,0,135,0,0,0,0,0,97,0,10,0,0,0,2,2,0,0,0,0,0,0,0,47,0,0,0,0,0,40,0,0,0,8,0,0,0,0,8,0,490
293,Karnataka,Belagavi District,2014,59,0,0,0,59,0,59,1,23,0,0,0,6,17,4,233,23,0,0,2,208,4,0,2,0,2,162,0,26,34,1,0,26,26,0,0,0,0,3,0,3,23,1,0,9,0,175,9,0,0,0,1,0,0,0,0,1,0,794
294,Karnataka,Ballari,2014,48,0,0,0,48,0,48,0,13,4,0,0,3,6,12,121,0,0,0,0,121,0,0,0,0,0,72,0,27,18,3,0,32,32,0,0,0,0,3,0,3,25,0,0,0,0,0,81,0,0,0,5,0,0,0,0,5,0,460
295,Karnataka,Bidar,2014,33,0,0,0,33,0,33,8,42,4,0,0,16,22,10,82,0,0,0,0,82,11,0,0,0,11,106,0,17,8,1,1,0,0,0,0,0,0,0,0,0,19,0,0,3,0,11,29,0,0,0,5,4,1,0,0,0,26,412
296,Karnataka,Vijayapura,2014,45,0,0,0,45,0,45,0,14,5,0,0,2,7,7,127,24,21,0,2,80,0,0,0,0,0,122,0,24,28,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,409
297,Karnataka,Chikkaballapura,2014,36,0,0,0,36,0,36,0,13,0,0,0,4,9,10,106,0,0,0,0,106,8,0,0,0,8,26,0,14,12,0,0,5,4,1,0,0,0,1,0,1,16,0,0,12,0,0,37,0,0,0,6,6,0,0,0,0,0,302
298,Karnataka,Chamarajnagar,2014,11,0,0,0,11,0,11,0,18,8,0,1,3,6,5,92,2,21,0,1,68,1,0,0,0,1,15,0,6,5,4,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,2,0,0,0,0,2,0,169
299,Karnataka,Chikkamagaluru,2014,30,0,0,0,30,2,28,0,8,5,0,0,3,0,5,172,0,0,0,0,172,2,0,0,0,2,110,0,24,8,0,0,2,2,0,0,0,0,2,0,2,5,0,0,0,0,0,32,0,0,0,5,0,0,0,0,5,53,458
300,Karnataka,Chitradurga,2014,24,0,0,0,24,0,24,0,24,0,0,0,0,24,17,241,0,0,0,0,241,5,1,4,0,0,77,0,12,2,2,0,3,3,0,0,0,0,1,0,1,14,0,0,0,0,0,31,0,0,0,4,0,0,0,0,4,0,457
