,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
254,KARNATAKA,BAGALKOT,2001,2,7,1,39,0,50,0
255,KARNATAKA,BANGALORE COMMR.,2001,40,56,40,223,51,229,0
256,KARNATAKA,BANGALORE RURAL,2001,13,10,30,90,0,123,0
257,KARNATAKA,BELGAUM,2001,8,12,4,62,0,125,0
258,KARNATAKA,BELLARY,2001,16,11,5,82,0,49,0
259,KARNATAKA,BIDAR,2001,7,10,2,90,3,51,0
260,KARNATAKA,BIJAPUR,2001,6,19,1,65,0,92,0
261,KARNATAKA,CHAMARAJNAGAR,2001,4,5,7,43,0,15,0
262,KARNATAKA,CHICKMAGALUR,2001,8,7,4,57,8,83,0
263,KARNATAKA,CHITRADURGA,2001,18,0,2,48,0,35,0
264,KARNATAKA,DAKSHIN KANNADA,2001,3,6,1,24,0,25,0
265,KARNATAKA,DAVANAGERE,2001,22,13,8,84,5,77,0
266,KARNATAKA,DHARWAD COMMR.,2001,4,4,2,3,0,24,0
267,KARNATAKA,DHARWAD RURAL,2001,3,2,3,8,0,8,0
268,KARNATAKA,GADAG,2001,2,2,3,10,0,18,0
269,KARNATAKA,GULBARGA,2001,20,21,6,143,1,104,0
270,KARNATAKA,HASSAN,2001,20,0,4,75,1,68,0
271,KARNATAKA,HAVERI,2001,3,11,5,42,0,32,0
272,KARNATAKA,K.G.F.,2001,1,7,4,12,0,20,0
273,KARNATAKA,KODAGU,2001,4,4,4,22,0,14,0
274,KARNATAKA,KOLAR,2001,17,18,18,42,0,39,0
275,KARNATAKA,KOPPAL,2001,6,12,5,40,1,23,0
276,KARNATAKA,MANDYA,2001,15,1,7,50,0,72,0
277,KARNATAKA,MYSORE COMMR.,2001,2,7,9,8,1,48,0
278,KARNATAKA,MYSORE RURAL,2001,12,4,6,79,2,51,0
279,KARNATAKA,RAICHUR,2001,12,5,1,63,4,52,0
280,KARNATAKA,RAILWAYS,2001,1,0,1,0,0,0,0
281,KARNATAKA,SHIMOGA,2001,12,10,6,65,0,134,0
282,KARNATAKA,TUMKUR,2001,6,4,28,53,0,44,0
283,KARNATAKA,UDUPI,2001,2,0,0,16,2,16,0
284,KARNATAKA,UTTAR KANNADA,2001,4,3,3,27,2,34,0
285,KARNATAKA,TOTAL,2001,293,271,220,1665,81,1755,0
971,KARNATAKA,BAGALKOT,2002,4,7,2,53,1,63,0
972,KARNATAKA,BANGALORE COMMR.,2002,32,58,33,237,62,242,0
973,KARNATAKA,BANGALORE RURAL,2002,22,0,35,114,0,129,0
