,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
352,MAHARASHTRA,AHMEDNAGAR,2001,44,25,0,74,2,496,0
353,MAHARASHTRA,AKOLA,2001,15,14,2,109,7,189,0
354,MAHARASHTRA,AMRAVATI COMMR.,2001,23,23,10,43,26,55,0
355,MAHARASHTRA,AMRAVATI RURAL,2001,42,25,4,99,38,92,0
356,MAHARASHTRA,AURANGABAD COMMR.,2001,14,14,4,33,12,102,0
357,MAHARASHTRA,AURANGABAD RURAL,2001,28,6,6,53,12,247,0
358,MAHARASHTRA,BEED,2001,22,15,2,78,15,177,0
359,MAHARASHTRA,BHANDARA,2001,39,1,5,71,37,60,0
360,MAHARASHTRA,BULDHANA,2001,22,18,35,118,21,223,0
361,MAHARASHTRA,CHANDRAPUR,2001,43,7,2,102,28,144,0
362,MAHARASHTRA,DHULE,2001,16,6,6,17,8,127,0
363,MAHARASHTRA,GADCHIROLI,2001,27,6,0,55,17,57,0
364,MAHARASHTRA,GONDIA,2001,23,17,4,85,22,80,0
365,MAHARASHTRA,HINGOLI,2001,20,8,2,44,4,134,0
366,MAHARASHTRA,JALGAON,2001,19,12,5,76,31,389,0
367,MAHARASHTRA,JALNA,2001,16,8,5,56,7,172,0
368,MAHARASHTRA,KOLHAPUR,2001,26,13,19,46,7,80,0
369,MAHARASHTRA,LATUR,2001,7,22,38,50,7,150,0
370,MAHARASHTRA,MUMBAI,2001,127,12,18,274,44,198,0
371,MAHARASHTRA,MUMBAI RLY.,2001,2,0,0,5,0,0,0
372,MAHARASHTRA,NAGPUR COMMR.,2001,39,51,7,75,56,218,0
373,MAHARASHTRA,NAGPUR RLY.,2001,2,0,2,4,0,0,0
374,MAHARASHTRA,NAGPUR RURAL,2001,81,16,3,131,294,141,0
375,MAHARASHTRA,NANDED,2001,23,36,21,85,22,202,0
376,MAHARASHTRA,NANDURBAR,2001,16,6,2,27,1,78,0
377,MAHARASHTRA,NASIK COMMR.,2001,9,9,3,19,2,99,0
378,MAHARASHTRA,NASIK RURAL,2001,39,10,7,74,37,339,0
379,MAHARASHTRA,NAVI MUMBAI,2001,17,7,5,23,5,57,0
380,MAHARASHTRA,OSMANABAD,2001,16,7,2,52,6,102,0
381,MAHARASHTRA,PARBHANI,2001,25,16,1,57,10,120,0
382,MAHARASHTRA,PUNE COMMR.,2001,56,28,2,54,105,147,1
383,MAHARASHTRA,PUNE RLY.,2001,0,0,0,3,0,0,0
384,MAHARASHTRA,PUNE RURAL,2001,42,17,5,64,11,165,0
385,MAHARASHTRA,RAIGAD,2001,20,1,1,29,7,55,0
386,MAHARASHTRA,RATNAGIRI,2001,10,4,0,32,19,62,0
387,MAHARASHTRA,SANGLI,2001,32,8,12,54,22,96,0
388,MAHARASHTRA,SATARA,2001,32,7,13,49,9,179,0
389,MAHARASHTRA,SINDHUDURG,2001,7,2,0,20,13,8,0
390,MAHARASHTRA,SOLAPUR COMMR.,2001,16,11,6,15,4,62,0
