,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
579,UTTAR PRADESH,AGRA,2001,66,132,63,110,114,327,0
580,UTTAR PRADESH,ALIGARH,2001,50,78,44,90,54,258,0
581,UTTAR PRADESH,ALLAHABAD,2001,42,75,56,85,105,226,0
582,UTTAR PRADESH,AMBEDKAR NAGAR,2001,19,29,14,15,9,87,0
583,UTTAR PRADESH,AURAIYA,2001,11,25,21,13,7,26,0
584,UTTAR PRADESH,AZAMGARH,2001,11,41,32,14,15,81,0
585,UTTAR PRADESH,BADAUN,2001,47,41,62,51,14,76,0
586,UTTAR PRADESH,BAGHPAT,2001,15,17,20,18,12,64,0
587,UTTAR PRADESH,BAHRAICH,2001,14,19,19,15,17,62,0
588,UTTAR PRADESH,BALLIA,2001,18,17,19,7,22,35,0
589,UTTAR PRADESH,BALRAMPUR,2001,8,19,12,23,11,30,0
590,UTTAR PRADESH,BANDA,2001,27,18,21,51,18,50,0
591,UTTAR PRADESH,BARABANKI,2001,41,55,35,37,21,188,0
592,UTTAR PRADESH,BAREILLY,2001,93,98,57,110,40,421,0
593,UTTAR PRADESH,BASTI,2001,18,23,22,28,12,48,0
594,UTTAR PRADESH,BIJNOR,2001,38,59,31,67,38,230,0
595,UTTAR PRADESH,BULANDSHAHAR,2001,31,64,45,71,219,227,0
596,UTTAR PRADESH,CHANDOLI,2001,4,11,16,13,0,22,0
597,UTTAR PRADESH,CHITRAKOOT DHAM,2001,8,3,8,16,4,2,0
598,UTTAR PRADESH,DEORIA,2001,7,33,27,15,15,44,0
599,UTTAR PRADESH,ETAH,2001,57,59,68,68,24,156,0
600,UTTAR PRADESH,ETAWAH,2001,20,22,29,25,26,52,0
601,UTTAR PRADESH,FAIZABAD,2001,22,26,17,24,18,49,0
602,UTTAR PRADESH,FATEHGARH,2001,9,38,22,23,28,93,0
603,UTTAR PRADESH,FATEHPUR,2001,28,27,46,25,15,59,0
604,UTTAR PRADESH,FIROZABAD,2001,22,59,48,33,69,89,0
605,UTTAR PRADESH,G.R.P.,2001,2,2,1,18,71,1,0
606,UTTAR PRADESH,GAUTAMBUDH NAGAR,2001,16,30,17,39,40,54,0
607,UTTAR PRADESH,GHAZIABAD,2001,31,79,33,54,138,140,0
608,UTTAR PRADESH,GHAZIPUR,2001,6,19,22,18,29,56,0
609,UTTAR PRADESH,GONDA,2001,18,21,26,19,13,46,0
610,UTTAR PRADESH,GORAKHPUR,2001,13,52,16,25,36,52,0
611,UTTAR PRADESH,HAMIRPUR,2001,14,16,22,32,7,25,0
612,UTTAR PRADESH,HARDOI,2001,70,60,63,86,21,136,0
613,UTTAR PRADESH,HATHRAS,2001,16,26,31,63,26,93,0
614,UTTAR PRADESH,J.P.NAGAR,2001,23,36,14,35,22,98,0
615,UTTAR PRADESH,JALAUN,2001,6,14,29,40,21,65,0
616,UTTAR PRADESH,JAUNPUR,2001,11,15,43,21,19,85,0
617,UTTAR PRADESH,JHANSI,2001,18,20,31,32,30,69,0
618,UTTAR PRADESH,KANNAUJ,2001,8,19,22,18,7,63,0
619,UTTAR PRADESH,KANPUR DEHAT,2001,21,34,39,45,7,79,0
620,UTTAR PRADESH,KANPUR NAGAR,2001,47,176,64,106,213,356,0
621,UTTAR PRADESH,KAUSHAMBI,2001,26,23,28,44,9,72,0
622,UTTAR PRADESH,KHIRI,2001,83,90,88,99,24,138,0
